group,machine,generation,property,timing_value,figure,published,citation,locator,scope,validation,count,reason
ECE,sunbird,Haswell,L1-like capacity,32--36 KiB,\ref{fig:capacity-boxes},32 KiB,p3fog,"Table 10.2, p.147",core,inside bracket; PMU clean,Yes*,Qualified timing inference agrees with published value.
ECE,sunbird,Haswell,L1 conditional ways,8,\ref{fig:l1-boxes},8 ways,p3fog,"Table 10.2, p.147",core,matches,Yes*,Qualified timing inference agrees with published value.
ECE,sunbird,Haswell,L2-like capacity,256--288 KiB,\ref{fig:capacity-boxes},256 KiB,p3fog,"Table 10.2, p.147",core,inside bracket; L2 PMU gap,Yes*,Qualified timing inference agrees with published value.
ECE,sunbird,Haswell,L2 conditional ways,8,\ref{fig:l2-conflict},8 ways,p3fog,"Table 10.2, p.147",core,matches; L2 PMU gap,Yes*,Qualified timing inference agrees with published value.
ECE,sunbird,Haswell,LLC-like bracket,8--32 MiB,\ref{fig:capacity-boxes},30 MiB,sc2680,CPU Specifications,socket,inside; domain unproven,Hold,Bracket containment does not establish physical LLC size or sharing domain.
ECE,sunbird,Haswell,Visible granularity,64 B,\ref{fig:spatial-boxes},64 B,p3fog,"Table 10.2, p.147",core,matches,Yes*,Qualified timing inference agrees with published value.
ECE,thunderbird,Neoverse N1,L1-like capacity,64--72 KiB,\ref{fig:capacity-boxes},64 KiB,scaltra,"Sections 2.3--2.5, p.9",core,inside bracket; PMU clean,Yes*,Qualified timing inference agrees with published value.
ECE,thunderbird,Neoverse N1,L1 conditional ways,4,\ref{fig:l1-boxes},4 ways,scaltra,"Sections 2.3--2.5, p.9",core,matches,Yes*,Qualified timing inference agrees with published value.
ECE,thunderbird,Neoverse N1,L2-like capacity,1024--1152 KiB,\ref{fig:capacity-boxes},1024 KiB,scaltra,"Sections 2.3--2.5, p.9",core,inside bracket; L2 PMU gap,Yes*,Qualified timing inference agrees with published value.
ECE,thunderbird,Neoverse N1,L2 conditional ways,8,\ref{fig:l2-conflict},8 ways,scaltra,"Sections 2.3--2.5, p.9",core,matches; mixed-ring only,Hold,Numeric match does not isolate lower-level congruence/residency in mixed-ring test.
ECE,thunderbird,Neoverse N1,LLC-like bracket,16--18 MiB,\ref{fig:capacity-boxes},32 MiB,scaltra,"Section 2.5, p.9",system cache,outside bracket,No,Published size lies outside frozen bracket.
ECE,thunderbird,Neoverse N1,Visible granularity,64 B,\ref{fig:spatial-boxes},64 B,scaltra,"Sections 2.3--2.5, p.9",core,matches,Yes*,Qualified timing inference agrees with published value.
ECE,skylark,Zen 2,L1-like capacity,32--36 KiB,\ref{fig:capacity-boxes},32 KiB,p3fog,"Table 22.3, p.237",core,inside bracket; PMU clean,Yes*,Qualified timing inference agrees with published value.
ECE,skylark,Zen 2,L1 conditional ways,8,\ref{fig:l1-boxes},8 ways,p3fog,"Table 22.3, p.237",core,matches,Yes*,Qualified timing inference agrees with published value.
ECE,skylark,Zen 2,L2-like capacity,512--576 KiB,\ref{fig:capacity-boxes},512 KiB,p3fog,"Table 22.3, p.237",core,inside bracket; L2 PMU gap,Yes*,Qualified timing inference agrees with published value.
ECE,skylark,Zen 2,L2 conditional ways,8,\ref{fig:l2-conflict},8 ways,p3fog,"Table 22.3, p.237",core,matches; L2 PMU gap,Yes*,Qualified timing inference agrees with published value.
ECE,skylark,Zen 2,LLC-like bracket,16--18 MiB,\ref{fig:capacity-boxes},16 MiB,scrome,"HPC tuning guide, cache-domain diagram","CCX, not package",inside CCX; scope unproven,Hold,Bracket containment does not establish physical LLC size or sharing domain.
ECE,skylark,Zen 2,Visible granularity,64 B,\ref{fig:spatial-boxes},64 B,p3fog,"Table 22.3, p.237",core,matches,Yes*,Qualified timing inference agrees with published value.
