capacity_candidate_bytes,capacity_interval_bytes,caveat,derived_sets,evidence,hit_median_native_ticks_per_access,host,inclusion_exclusion,joint_conflict_candidates,line_candidate_bytes,role,sharing_scope,unit,ways_candidate,coarse_class_bracket_bytes,deeper_mixed_class_envelope,dense_sparse_brackets,dense_sparse_interval_overlap,joint_l2_candidates,lower_conflict_source,refined_departure_sources,refinement_rule,way_inference_status
32768,"[32768, 36864]",Joint candidate assumes the smallest agreeing tested conflict stride is a fundamental indexing period. Other conflict thresholds remain in the raw evidence; incompatible capacity products do not identify the L1-like class.,64,Baseline capacity departure + repeated conflict thresholds; follow-up shifted spatial boundary and independent confirmation,3.66015625,haswell,uncertain,"[{""capacity_candidate"": 32768, ""strides"": [4096, 16384, 65536, 262144], ""tested_period"": 4096, ""ways"": 8}]",64,L1-like candidate,Exact domain unverified in Phase I,TSC_ticks/access,8,,,,,,,,,
262144,"[262144, 294912]",Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model. Way/count geometry also assumes the tested smallest agreeing stride is fundamental and the odd upper scrub avoids target-lower-index conflicts.,,"Overlapping BIC class boundaries in fully huge-backed dense and sparse curves, anchored to the independently observed first departure; extra spacing-specific classes retained separately; constant-upper-scrub threshold reproduced at >=2 strides, both scrub patterns and both new seeds",,haswell,uncertain,,,L2-like candidate,Exact domain unverified in Phase I,TSC_ticks/access,8,"[262144, 524288]",False,"[[262144, 524288], [262144, 524288]]",True,"[{""capacity_candidate_bytes"": 262144, ""conditional_sets_if_spatial_granularity_is_l2_line_size"": 512, ""strides"": [32768, 262144], ""tested_period"": 32768, ""ways"": 8}]",machines/haswell/followup-v1/l2-confirmation.json,"[""machines/haswell/followup-v1/capacity_refinement/fc8afac5007c907a/attempt-1789186719953157791/run.json"", ""machines/haswell/followup-v1/capacity_refinement/951f7c419034f2c9/attempt-1789186634292387425/run.json""]",Earliest IQR-separated >15% departure within a matched refinement cohort inside the agreed coarse timing-class bracket; narrow only if its endpoints share a core and full huge backing. Never skip an unusable early edge to select a later edge. Not a statistical confidence interval,Conditional geometry supported
,"[16777216, 134217728]",Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,,"Overlapping BIC class boundaries in fully huge-backed dense and sparse curves, anchored to the independently observed first departure; extra spacing-specific classes retained separately",,haswell,uncertain,,,LLC-like candidate,Exact domain unverified in Phase I,TSC_ticks/access,,"[16777216, 134217728]",True,"[[16777216, 33554432], [16777216, 33554432]]",False,,,[],Earliest IQR-separated >15% departure within a matched refinement cohort inside the agreed coarse timing-class bracket; narrow only if its endpoints share a core and full huge backing. Never skip an unusable early edge to select a later edge. Not a statistical confidence interval,
32768,"[32768, 36864]",Joint candidate assumes the smallest agreeing tested conflict stride is a fundamental indexing period. Other conflict thresholds remain in the raw evidence; incompatible capacity products do not identify the L1-like class.,64,Baseline capacity departure + repeated conflict thresholds; follow-up shifted spatial boundary and independent confirmation,3.33203125,cascadelake,uncertain,"[{""capacity_candidate"": 32768, ""strides"": [4096, 16384, 65536, 262144], ""tested_period"": 4096, ""ways"": 8}]",64,L1-like candidate,Exact domain unverified in Phase I,TSC_ticks/access,8,,,,,,,,,
,,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,,"Overlapping BIC class boundaries in fully huge-backed dense and sparse curves, anchored to the independently observed first departure; extra spacing-specific classes retained separately",,cascadelake,uncertain,,,L2-like candidate,Exact domain unverified in Phase I,TSC_ticks/access,,,False,[],False,[],machines/cascadelake/followup-v1/l2-confirmation.json,[],Earliest IQR-separated >15% departure within a matched refinement cohort inside the agreed coarse timing-class bracket; narrow only if its endpoints share a core and full huge backing. Never skip an unusable early edge to select a later edge. Not a statistical confidence interval,No independent L2-like capacity bracket
,,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,,"Overlapping BIC class boundaries in fully huge-backed dense and sparse curves, anchored to the independently observed first departure; extra spacing-specific classes retained separately",,cascadelake,uncertain,,,LLC-like candidate,Exact domain unverified in Phase I,TSC_ticks/access,,,False,[],False,,,[],Earliest IQR-separated >15% departure within a matched refinement cohort inside the agreed coarse timing-class bracket; narrow only if its endpoints share a core and full huge backing. Never skip an unusable early edge to select a later edge. Not a statistical confidence interval,
49152,"[49152, 53248]",Joint candidate assumes the smallest agreeing tested conflict stride is a fundamental indexing period. Other conflict thresholds remain in the raw evidence; incompatible capacity products do not identify the L1-like class.,64,Baseline capacity departure + repeated conflict thresholds; follow-up shifted spatial boundary and independent confirmation,5.25,icelake_8358,uncertain,"[{""capacity_candidate"": 49152, ""strides"": [4096, 16384, 65536], ""tested_period"": 4096, ""ways"": 12}]",64,L1-like candidate,Exact domain unverified in Phase I,TSC_ticks/access,12,,,,,,,,,
,,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,,"Overlapping BIC class boundaries in fully huge-backed dense and sparse curves, anchored to the independently observed first departure; extra spacing-specific classes retained separately",,icelake_8358,uncertain,,,L2-like candidate,Exact domain unverified in Phase I,TSC_ticks/access,,,False,[],False,[],machines/icelake_8358/followup-v1/l2-search.json,[],Earliest IQR-separated >15% departure within a matched refinement cohort inside the agreed coarse timing-class bracket; narrow only if its endpoints share a core and full huge backing. Never skip an unusable early edge to select a later edge. Not a statistical confidence interval,No independent L2-like capacity bracket
,,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,,"Overlapping BIC class boundaries in fully huge-backed dense and sparse curves, anchored to the independently observed first departure; extra spacing-specific classes retained separately",,icelake_8358,uncertain,,,LLC-like candidate,Exact domain unverified in Phase I,TSC_ticks/access,,,False,[],False,,,[],Earliest IQR-separated >15% departure within a matched refinement cohort inside the agreed coarse timing-class bracket; narrow only if its endpoints share a core and full huge backing. Never skip an unusable early edge to select a later edge. Not a statistical confidence interval,
32768,"[32768, 36864]",Joint candidate assumes the smallest agreeing tested conflict stride is a fundamental indexing period. Other conflict thresholds remain in the raw evidence; incompatible capacity products do not identify the L1-like class.,64,Baseline capacity departure + repeated conflict thresholds; follow-up shifted spatial boundary and independent confirmation,5.0625,genoa,uncertain,"[{""capacity_candidate"": 32768, ""strides"": [4096, 16384, 65536, 262144], ""tested_period"": 4096, ""ways"": 8}]",64,L1-like candidate,Exact domain unverified in Phase I,TSC_ticks/access,8,,,,,,,,,
